101,102
102,103
103,104
104,105
105,106
106,107
107,108
108,109
109,125
125,110
100,101
101,102
102,103
103,104
104,105
105,106
106,107
107,108
108,109
109,125
125,110
100,101
101,102
102,103
103,104
104,105
105,106
106,107
107,108
108,109
109,125
125,110
110,111
111,112
112,113
113,114
114,115
115,116
116,107
107,118
118,119
119,103
103,121
121,122
122,102
102,100
110,111
111,112
112,113
113,114
114,115
115,116
116,107
107,118
118,119
119,103
103,121
121,122
122,102
102,100
110,111
111,112
112,113
113,114
114,115
115,116
116,107
107,118
118,119
119,103
103,121
121,122
122,102
102,100
100,101
101,102
102,103
103,104
104,105
105,106
106,107
107,108
108,109
109,125
125,110
110,111
111,112
112,113
113,114
114,115
115,116
116,107
107,118
118,119
119,103
103,121
121,122
122,102
102,101
101,100
102,103
103,104
104,105
105,106
106,107
107,108
108,109
109,125
125,110
102,103
103,104
104,105
105,106
106,107
107,108
108,109
109,125
125,110
102,103
103,104
104,105
105,106
106,107
107,108
108,109
109,125
125,110
107,108
108,109
109,125
125,110
110,111
111,112
112,113
113,114
114,115
115,116
116,107
107,118
118,119
119,103
103,121
121,122
122,102
102,101
110,111
111,112
112,113
113,114
114,115
115,116
116,107
107,118
118,119
119,103
103,121
121,122
122,102
102,101
100,102
102,103
103,104
104,105
105,106
106,107
107,108
108,109
109,125
125,110
100,102
102,103
103,104
104,105
105,106
106,107
107,108
108,109
109,125
125,110
100,102
102,103
103,104
104,105
105,106
106,107
107,108
108,109
109,125
125,110
110,111
111,112
112,113
113,114
114,115
115,116
116,107
107,118
118,119
119,103
103,121
121,122
122,102
102,101
101,100
110,111
111,112
112,113
113,114
114,115
115,116
116,107
107,118
118,119
119,103
103,121
121,122
122,102
102,101
101,100
110,111
111,112
112,113
113,114
114,115
115,116
116,107
107,118
118,119
119,103
103,121
121,122
122,102
102,101
107,118
118,119
119,121
121,122
122,100
100,105
105,106
106,107
110,111
111,112
112,113
113,114
114,115
115,116
116,107
107,118
118,119
119,121
121,102
102,101
110,111
111,112
112,113
113,114
114,115
115,116
116,107
107,118
118,119
119,121
121,102
102,101
101,100
